x_m,y_m,w_tr_right_m,w_tr_left_m
29.749585441,2.466957698,0.457200000,0.457200000
29.774165106,2.470475582,0.457200000,0.457200000
29.798739561,2.474029671,0.457200000,0.457200000
29.823308754,2.477619958,0.457200000,0.457200000
29.847872631,2.481246434,0.457200000,0.457200000
29.872431140,2.484909092,0.457200000,0.457200000
29.896984226,2.488607924,0.457200000,0.457200000
29.921531837,2.492342921,0.457200000,0.457200000
29.946073919,2.496114076,0.457200000,0.457200000
29.970610419,2.499921380,0.457200000,0.457200000
29.995141284,2.503764826,0.457200000,0.457200000
30.019666461,2.507644404,0.457200000,0.457200000
30.044185895,2.511560107,0.457200000,0.457200000
30.068699535,2.515511925,0.457200000,0.457200000
30.093207327,2.519499851,0.457200000,0.457200000
30.117709217,2.523523875,0.457200000,0.457200000
30.142205153,2.527583989,0.457200000,0.457200000
30.166695081,2.531680185,0.457200000,0.457200000
30.191178949,2.535812453,0.457200000,0.457200000
30.215656703,2.539980783,0.457200000,0.457200000
30.240128289,2.544185168,0.457200000,0.457200000
30.264593656,2.548425599,0.457200000,0.457200000
30.289052749,2.552702065,0.457200000,0.457200000
30.313505516,2.557014557,0.457200000,0.457200000
30.337951904,2.561363067,0.457200000,0.457200000
30.362391859,2.565747585,0.457200000,0.457200000
30.386825328,2.570168101,0.457200000,0.457200000
30.411252260,2.574624605,0.457200000,0.457200000
30.435672599,2.579117089,0.457200000,0.457200000
30.460086295,2.583645542,0.457200000,0.457200000
30.484493293,2.588209954,0.457200000,0.457200000
30.508893540,2.592810316,0.457200000,0.457200000
30.533286984,2.597446618,0.457200000,0.457200000
30.557673572,2.602118849,0.457200000,0.457200000
30.582053250,2.606826999,0.457200000,0.457200000
30.606425967,2.611571059,0.457200000,0.457200000
30.630791668,2.616351017,0.457200000,0.457200000
30.655150302,2.621166864,0.457200000,0.457200000
30.679501814,2.626018588,0.457200000,0.457200000
30.703846153,2.630906181,0.457200000,0.457200000
30.728183266,2.635829630,0.457200000,0.457200000
30.752595828,2.640810001,0.457200000,0.457200000
30.776999363,2.645834417,0.457200000,0.457200000
30.801393792,2.650902860,0.457200000,0.457200000
30.825779036,2.656015315,0.457200000,0.457200000
30.850155014,2.661171764,0.457200000,0.457200000
30.874521648,2.666372191,0.457200000,0.457200000
30.898878858,2.671616579,0.457200000,0.457200000
30.923226565,2.676904911,0.457200000,0.457200000
30.947564689,2.682237169,0.457200000,0.457200000
30.971893152,2.687613336,0.457200000,0.457200000
30.996211874,2.693033396,0.457200000,0.457200000
31.020520776,2.698497329,0.457200000,0.457200000
31.044819779,2.704005119,0.457200000,0.457200000
31.069108804,2.709556747,0.457200000,0.457200000
31.093387771,2.715152195,0.457200000,0.457200000
31.117656601,2.720791445,0.457200000,0.457200000
31.141915216,2.726474479,0.457200000,0.457200000
31.166163537,2.732201278,0.457200000,0.457200000
31.190401484,2.737971824,0.457200000,0.457200000
31.214628979,2.743786097,0.457200000,0.457200000
31.238845943,2.749644080,0.457200000,0.457200000
31.263052297,2.755545752,0.457200000,0.457200000
